galaxy_name,J_old_circular,J_new_visible,r_disk_kpc,v_visible_at_disk,ratio,sigma_J_frac,sigma_J_pct,sigma_J_abs,J_lower_1sigma,J_upper_1sigma,sigma_from_incl_pct,sigma_from_D_pct,inclination_deg,distance_mpc
NGC7793,6.616261e+65,8.020696e+64,2.45,97.83,0.121227,0.2196,21.96,1.7614e+64,6.259342e+64,9.782050e+64,9.07,20.00,60.0,3.61
NGC7814,5.333981e+67,2.334107e+66,2.79,275.95,0.043759,0.2196,21.96,5.1257e+65,1.821534e+66,2.846679e+66,9.07,20.00,60.0,14.4
PGC51017,1.152318e+63,5.100108e+62,1.65,23.59,0.442596,0.2196,21.96,1.1200e+62,3.980118e+62,6.220097e+62,9.07,20.00,60.0,13.6
UGC00128,8.051793e+67,1.249631e+66,18.71,63.01,0.015520,0.2196,21.96,2.7442e+65,9.752109e+65,1.524052e+66,9.07,20.00,60.0,64.5
UGC00191,8.378686e+65,3.889408e+64,4.97,47.96,0.046420,0.2196,21.96,8.5412e+63,3.035289e+64,4.743526e+64,9.07,20.00,60.0,17.1
UGC00634,5.749876e+66,1.660802e+65,9.01,52.34,0.028884,0.2196,21.96,3.6471e+64,1.296088e+65,2.025516e+65,9.07,20.00,60.0,30.9
UGC00731,6.854700e+65,2.827614e+64,7.28,33.44,0.041251,0.2196,21.96,6.2095e+63,2.206667e+64,3.448562e+64,9.07,20.00,60.0,12.5
UGC00891,2.018994e+65,7.441060e+63,4.45,29.75,0.036855,0.2196,21.96,1.6341e+63,5.806994e+63,9.075125e+63,9.07,20.00,60.0,10.2
UGC01230,2.081874e+67,7.152372e+65,14.85,61.03,0.034355,0.2196,21.96,1.5707e+65,5.581703e+65,8.723042e+65,9.07,20.00,60.0,53.7
UGC01281,6.545511e+64,2.322637e+63,3.07,25.85,0.035484,0.2196,21.96,5.1005e+62,1.812583e+63,2.832691e+63,9.07,20.00,60.0,5.27
UGC02023,4.144968e+64,8.203043e+63,3.03,39.71,0.197904,0.2196,21.96,1.8014e+63,6.401645e+63,1.000444e+64,9.07,20.00,60.0,10.4
UGC02259,6.892583e+65,2.348775e+64,4.07,46.32,0.034077,0.2196,21.96,5.1579e+63,1.832981e+64,2.864569e+64,9.07,20.00,60.0,10.5
UGC02455,5.260236e+64,2.717821e+64,2.01,77.83,0.516673,0.2196,21.96,5.9684e+63,2.120984e+64,3.314657e+64,9.07,20.00,60.0,6.92
UGC02487,3.404351e+69,1.090002e+68,15.07,322.80,0.032018,0.2196,21.96,2.3937e+67,8.506364e+67,1.329368e+68,9.07,20.00,60.0,69.1
UGC02885,2.071758e+69,9.742876e+67,19.49,261.95,0.047027,0.2196,21.96,2.1395e+67,7.603329e+67,1.188242e+68,9.07,20.00,60.0,80.6
UGC02916,1.221824e+68,9.371544e+66,7.39,229.11,0.076701,0.2196,21.96,2.0580e+66,7.313542e+66,1.142955e+67,9.07,20.00,60.0,65.4
UGC02953,1.117744e+69,1.958168e+67,6.00,336.55,0.017519,0.2196,21.96,4.3002e+66,1.528152e+67,2.388183e+67,9.07,20.00,60.0,16.5
UGC03205,2.435913e+68,6.478974e+66,6.08,230.73,0.026598,0.2196,21.96,1.4228e+66,5.056184e+66,7.901765e+66,9.07,20.00,60.0,50.0
UGC03546,8.764663e+67,4.897174e+66,4.17,270.24,0.055874,0.2196,21.96,1.0754e+66,3.821749e+66,5.972599e+66,9.07,20.00,60.0,28.7
UGC03580,1.992169e+67,3.464280e+65,4.52,105.92,0.017389,0.2196,21.96,7.6076e+64,2.703520e+65,4.225040e+65,9.07,20.00,60.0,20.7
UGC04278,5.103896e+65,3.569468e+64,5.68,42.64,0.069936,0.2196,21.96,7.8386e+63,2.785609e+64,4.353327e+64,9.07,20.00,60.0,9.51
UGC04305,1.562520e+64,7.318489e+63,3.01,38.40,0.468377,0.2196,21.96,1.6071e+63,5.711340e+63,8.925637e+63,9.07,20.00,60.0,3.45
UGC04325,3.415801e+65,2.985135e+64,3.49,55.59,0.087392,0.2196,21.96,6.5554e+63,2.329596e+64,3.640674e+64,9.07,20.00,60.0,9.6
UGC04483,2.960891e+62,2.092234e+61,0.73,14.01,0.070662,0.2196,21.96,4.5946e+60,1.632777e+61,2.551691e+61,9.07,20.00,60.0,3.34
UGC04499,3.916325e+65,2.704432e+64,4.55,45.07,0.069055,0.2196,21.96,5.9390e+63,2.110536e+64,3.298329e+64,9.07,20.00,60.0,12.5
UGC05005,1.136743e+67,5.390003e+65,17.97,48.91,0.047416,0.2196,21.96,1.1837e+65,4.206352e+65,6.573654e+65,9.07,20.00,60.0,53.7
UGC05253,4.198233e+68,1.165379e+67,6.47,269.21,0.027759,0.2196,21.96,2.5592e+66,9.094601e+66,1.421297e+67,9.07,20.00,60.0,22.9
UGC05414,5.579489e+64,6.369559e+63,2.74,39.03,0.114160,0.2196,21.96,1.3988e+63,4.970797e+63,7.768322e+63,9.07,20.00,60.0,9.4
UGC05716,9.101372e+65,2.472321e+64,7.23,32.12,0.027164,0.2196,21.96,5.4292e+63,1.929396e+64,3.015245e+64,9.07,20.00,60.0,21.3
UGC05721,3.257068e+65,3.624865e+63,1.71,44.29,0.011129,0.2196,21.96,7.9602e+62,2.828841e+63,4.420890e+63,9.07,20.00,60.0,6.18
UGC05750,3.659393e+66,1.779251e+65,11.43,45.70,0.048621,0.2196,21.96,3.9073e+64,1.388526e+65,2.169977e+65,9.07,20.00,60.0,58.7
UGC05764,2.323402e+64,6.877527e+62,2.17,21.71,0.029601,0.2196,21.96,1.5103e+62,5.367214e+62,8.387839e+62,9.07,20.00,60.0,7.47
UGC05829,2.199551e+65,1.387596e+64,5.03,33.75,0.063085,0.2196,21.96,3.0472e+63,1.082879e+64,1.692314e+64,9.07,20.00,60.0,8.64
UGC05918,2.501240e+64,1.392051e+63,3.34,20.60,0.055654,0.2196,21.96,3.0570e+62,1.086355e+63,1.697747e+63,9.07,20.00,60.0,7.66
UGC05986,1.547876e+66,4.990058e+64,3.13,70.94,0.032238,0.2196,21.96,1.0958e+64,3.894236e+64,6.085881e+64,9.07,20.00,60.0,8.63
UGC05999,3.754113e+66,3.519184e+65,13.89,50.37,0.093742,0.2196,21.96,7.7282e+64,2.746367e+65,4.292001e+65,9.07,20.00,60.0,47.7
UGC06399,5.910950e+65,2.878335e+64,4.37,47.27,0.048695,0.2196,21.96,6.3209e+63,2.246249e+64,3.510420e+64,9.07,20.00,60.0,18.0
UGC06446,7.659580e+65,2.774860e+64,5.81,38.62,0.036227,0.2196,21.96,6.0936e+63,2.165497e+64,3.384222e+64,9.07,20.00,60.0,12.0
UGC06614,5.053901e+68,1.249251e+67,11.58,186.90,0.024719,0.2196,21.96,2.7434e+66,9.749138e+66,1.523588e+67,9.07,20.00,60.0,88.7
UGC06628,6.386743e+64,5.508687e+64,5.50,50.35,0.862519,0.2196,21.96,1.2097e+64,4.298973e+64,6.718400e+64,9.07,20.00,60.0,15.1
UGC06667,5.534615e+65,1.063178e+64,5.24,30.05,0.019210,0.2196,21.96,2.3348e+63,8.297029e+63,1.296653e+64,9.07,20.00,60.0,18.0
UGC06786,1.554130e+68,2.626968e+66,4.71,202.46,0.016903,0.2196,21.96,5.7689e+65,2.050083e+66,3.203854e+66,9.07,20.00,60.0,29.3
UGC06787,3.272492e+68,3.712815e+66,3.79,262.63,0.011346,0.2196,21.96,8.1534e+65,2.897476e+66,4.528153e+66,9.07,20.00,60.0,21.3
UGC06818,2.863092e+65,1.365199e+64,3.50,42.74,0.047683,0.2196,21.96,2.9980e+63,1.065400e+64,1.664998e+64,9.07,20.00,60.0,18.0
UGC06917,2.139282e+66,1.646672e+65,6.11,67.61,0.076973,0.2196,21.96,3.6161e+64,1.285061e+65,2.008284e+65,9.07,20.00,60.0,18.0
UGC06923,2.026598e+65,2.567347e+64,2.87,60.22,0.126683,0.2196,21.96,5.6379e+63,2.003554e+64,3.131139e+64,9.07,20.00,60.0,18.0
UGC06930,4.959252e+66,4.280086e+65,8.72,73.34,0.086305,0.2196,21.96,9.3991e+64,3.340174e+65,5.219998e+65,9.07,20.00,60.0,18.0
UGC06973,5.128171e+66,1.970340e+66,1.74,357.28,0.384219,0.2196,21.96,4.3269e+65,1.537651e+66,2.403029e+66,9.07,20.00,60.0,18.0
UGC06983,4.543361e+66,1.568942e+65,6.98,60.88,0.034533,0.2196,21.96,3.4454e+64,1.224401e+65,1.913484e+65,9.07,20.00,60.0,18.0
UGC07089,5.925514e+65,6.148135e+64,5.24,53.94,0.103757,0.2196,21.96,1.3501e+64,4.797997e+64,7.498272e+64,9.07,20.00,60.0,18.0
UGC07125,1.361111e+66,1.268012e+65,10.08,44.39,0.093160,0.2196,21.96,2.7846e+64,9.895552e+64,1.546469e+65,9.07,20.00,60.0,19.8
UGC07151,1.909835e+65,2.295342e+64,3.49,50.92,0.120185,0.2196,21.96,5.0406e+63,1.791282e+64,2.799401e+64,9.07,20.00,60.0,6.87
UGC07232,8.173186e+62,1.154848e+62,0.62,27.61,0.141297,0.2196,21.96,2.5361e+61,9.012423e+61,1.408454e+62,9.07,20.00,60.0,2.83
UGC07261,2.797765e+65,1.592197e+64,2.86,51.48,0.056910,0.2196,21.96,3.4965e+63,1.242549e+64,1.941845e+64,9.07,20.00,60.0,13.1
UGC07323,3.031607e+65,5.522649e+64,4.07,61.59,0.182169,0.2196,21.96,1.2128e+64,4.309869e+64,6.735430e+64,9.07,20.00,60.0,8.0
UGC07399,6.386225e+65,9.481595e+63,3.07,41.31,0.014847,0.2196,21.96,2.0822e+63,7.399425e+63,1.156376e+64,9.07,20.00,60.0,8.43
UGC07524,8.039746e+65,7.042742e+64,7.58,44.12,0.087599,0.2196,21.96,1.5466e+64,5.496147e+64,8.589336e+64,9.07,20.00,60.0,4.74
UGC07559,3.021077e+63,3.983390e+62,1.80,20.50,0.131853,0.2196,21.96,8.7476e+61,3.108633e+62,4.858147e+62,9.07,20.00,60.0,4.97
UGC07577,2.298471e+62,5.096098e+61,1.13,14.09,0.221717,0.2196,21.96,1.1191e+61,3.976989e+61,6.215207e+61,9.07,20.00,60.0,2.59
UGC07603,6.318721e+64,9.775412e+62,1.37,33.17,0.015471,0.2196,21.96,2.1467e+62,7.628720e+62,1.192210e+63,9.07,20.00,60.0,4.7
UGC07608,1.085078e+65,2.701686e+63,3.59,24.49,0.024899,0.2196,21.96,5.9329e+62,2.108393e+63,3.294979e+63,9.07,20.00,60.0,8.21
UGC07690,4.251490e+64,4.908594e+63,1.77,47.89,0.115456,0.2196,21.96,1.0779e+63,3.830661e+63,5.986527e+63,9.07,20.00,60.0,8.11
UGC07866,2.785259e+63,3.381542e+62,1.67,20.41,0.121409,0.2196,21.96,7.4259e+61,2.638952e+62,4.124133e+62,9.07,20.00,60.0,4.57
UGC08286,5.525867e+65,1.179422e+64,3.30,42.34,0.021344,0.2196,21.96,2.5900e+63,9.204192e+63,1.438424e+64,9.07,20.00,60.0,6.5
UGC08490,6.869465e+65,8.255931e+63,2.37,46.88,0.012018,0.2196,21.96,1.8130e+63,6.442919e+63,1.006894e+64,9.07,20.00,60.0,4.65
UGC08550,7.793612e+64,2.365045e+63,3.41,24.25,0.030346,0.2196,21.96,5.1937e+62,1.845679e+63,2.884412e+63,9.07,20.00,60.0,6.7
