ClID,sig200,M200,r200,N200,z,J,log10_J,k_best,mean_error,k_theory,log10_k_ratio
40.0,686.62,3.814e+14,1.148,68,0.0860,6.524e+73,73.81,1.000e-42,0.7419,1.465e-50,-49.83
43.0,532.75,3.753e+14,1.165,70,0.0232,5.053e+73,73.70,1.000e-42,1.2105,1.444e-50,-49.84
44.0,701.70,3.733e+14,1.145,95,0.0707,6.511e+73,73.81,1.000e-42,0.6881,1.468e-50,-49.83
45.0,659.93,3.712e+14,1.131,42,0.1034,6.012e+73,73.78,1.000e-42,0.8011,1.487e-50,-49.83
46.0,672.65,3.693e+14,1.130,38,0.1022,6.088e+73,73.78,1.000e-42,0.7636,1.489e-50,-49.83
48.0,667.82,3.674e+14,1.139,91,0.0720,6.063e+73,73.78,1.000e-42,0.7646,1.477e-50,-49.83
53.0,627.38,3.527e+14,1.119,61,0.0834,5.375e+73,73.73,1.000e-42,0.8564,1.503e-50,-49.82
54.0,710.96,3.526e+14,1.125,77,0.0688,6.116e+73,73.79,1.000e-42,0.6342,1.496e-50,-49.83
59.0,602.02,3.449e+14,1.110,43,0.0859,5.002e+73,73.70,1.000e-42,0.9210,1.515e-50,-49.82
60.0,715.06,3.441e+14,1.132,229,0.0219,6.043e+73,73.78,1.000e-42,0.5998,1.486e-50,-49.83
61.0,647.18,3.423e+14,1.111,60,0.0765,5.339e+73,73.73,1.000e-42,0.7798,1.514e-50,-49.82
63.0,743.22,3.397e+14,1.118,92,0.0494,6.121e+73,73.79,1.000e-42,0.5391,1.505e-50,-49.82
65.0,672.86,3.353e+14,1.095,33,0.0987,5.360e+73,73.73,1.000e-42,0.7062,1.536e-50,-49.81
66.0,660.88,3.335e+14,1.101,58,0.0779,5.263e+73,73.72,1.000e-42,0.7281,1.528e-50,-49.82
67.0,682.93,3.332e+14,1.103,78,0.0718,5.443e+73,73.74,1.000e-42,0.6703,1.526e-50,-49.82
68.0,679.36,3.289e+14,1.091,43,0.0903,5.290e+73,73.72,1.000e-42,0.6768,1.542e-50,-49.81
69.0,625.79,3.272e+14,1.094,55,0.0765,4.862e+73,73.69,1.000e-42,0.8131,1.537e-50,-49.81
70.0,647.17,3.266e+14,1.099,54,0.0609,5.040e+73,73.70,1.000e-42,0.7477,1.531e-50,-49.82
72.0,650.57,3.217e+14,1.088,107,0.0777,4.938e+73,73.69,1.000e-42,0.7344,1.547e-50,-49.81
74.0,639.46,3.176e+14,1.088,81,0.0628,4.794e+73,73.68,1.000e-42,0.7528,1.546e-50,-49.81
78.0,645.08,3.054e+14,1.081,129,0.0411,4.621e+73,73.66,1.000e-42,0.7091,1.556e-50,-49.81
81.0,676.27,3.034e+14,1.071,69,0.0660,4.765e+73,73.68,1.000e-42,0.6332,1.571e-50,-49.80
82.0,694.00,2.996e+14,1.077,111,0.0339,4.859e+73,73.69,1.000e-42,0.5770,1.562e-50,-49.81
88.0,603.94,2.919e+14,1.041,42,0.1114,3.983e+73,73.60,1.000e-42,0.8189,1.615e-50,-49.79
90.0,560.20,2.888e+14,1.047,32,0.0849,3.675e+73,73.57,1.000e-42,0.9454,1.607e-50,-49.79
95.0,575.58,2.857e+14,1.038,50,0.0982,3.704e+73,73.57,1.000e-42,0.8906,1.620e-50,-49.79
96.0,605.91,2.854e+14,1.032,42,0.1148,3.874e+73,73.59,1.000e-42,0.8005,1.629e-50,-49.79
98.0,636.87,2.839e+14,1.058,164,0.0332,4.151e+73,73.62,1.000e-42,0.6876,1.590e-50,-49.80
101.0,705.95,2.802e+14,1.030,34,0.1036,4.421e+73,73.65,1.000e-42,0.5331,1.633e-50,-49.79
103.0,616.01,2.775e+14,1.037,36,0.0735,3.845e+73,73.58,1.000e-42,0.7426,1.623e-50,-49.79
104.0,641.99,2.757e+14,1.042,86,0.0516,4.001e+73,73.60,1.000e-42,0.6626,1.615e-50,-49.79
109.0,573.07,2.712e+14,1.030,42,0.0703,3.473e+73,73.54,1.000e-42,0.8578,1.633e-50,-49.79
113.0,590.96,2.673e+14,1.022,43,0.0804,3.501e+73,73.54,1.000e-42,0.7958,1.647e-50,-49.78
114.0,560.71,2.636e+14,1.028,96,0.0449,3.298e+73,73.52,1.000e-42,0.8733,1.636e-50,-49.79
122.0,623.97,2.555e+14,1.018,46,0.0437,3.522e+73,73.55,1.000e-42,0.6657,1.652e-50,-49.78
123.0,607.00,2.550e+14,0.994,33,0.1150,3.338e+73,73.52,1.000e-42,0.7309,1.692e-50,-49.77
125.0,587.97,2.542e+14,1.010,45,0.0649,3.274e+73,73.52,1.000e-42,0.7705,1.666e-50,-49.78
126.0,622.91,2.538e+14,1.012,63,0.0543,3.473e+73,73.54,1.000e-42,0.6675,1.661e-50,-49.78
128.0,612.25,2.529e+14,1.008,75,0.0647,3.386e+73,73.53,1.000e-42,0.6973,1.669e-50,-49.78
133.0,630.16,2.492e+14,1.013,108,0.0328,3.452e+73,73.54,1.000e-42,0.6328,1.660e-50,-49.78
134.0,568.18,2.491e+14,0.991,41,0.0999,3.045e+73,73.48,1.000e-42,0.8302,1.697e-50,-49.77
137.0,698.76,2.475e+14,1.007,59,0.0450,3.778e+73,73.58,1.000e-42,0.4720,1.670e-50,-49.78
138.0,571.74,2.472e+14,0.991,31,0.0924,3.040e+73,73.48,1.000e-42,0.8119,1.697e-50,-49.77
142.0,534.09,2.459e+14,0.982,34,0.1162,2.797e+73,73.45,1.000e-42,0.9437,1.713e-50,-49.77
148.0,629.49,2.436e+14,0.987,36,0.0899,3.285e+73,73.52,1.000e-42,0.6371,1.704e-50,-49.77
149.0,584.51,2.430e+14,0.977,35,0.1190,3.012e+73,73.48,1.000e-42,0.7702,1.721e-50,-49.76
150.0,674.26,2.428e+14,0.985,32,0.0925,3.501e+73,73.54,1.000e-42,0.5274,1.707e-50,-49.77
155.0,609.15,2.411e+14,0.995,35,0.0554,3.170e+73,73.50,1.000e-42,0.6766,1.691e-50,-49.77
156.0,609.17,2.407e+14,0.998,58,0.0432,3.177e+73,73.50,1.000e-42,0.6725,1.685e-50,-49.77
161.0,607.49,2.379e+14,0.975,32,0.1027,3.059e+73,73.49,1.000e-42,0.6866,1.724e-50,-49.76
164.0,557.05,2.363e+14,0.975,42,0.0965,2.786e+73,73.44,1.000e-42,0.8333,1.725e-50,-49.76
169.0,641.19,2.338e+14,0.979,61,0.0754,3.182e+73,73.50,1.000e-42,0.5816,1.719e-50,-49.76
176.0,629.15,2.287e+14,0.977,46,0.0591,3.049e+73,73.48,1.000e-42,0.5960,1.723e-50,-49.76
182.0,537.23,2.270e+14,0.967,45,0.0830,2.558e+73,73.41,1.000e-42,0.8715,1.740e-50,-49.76
186.0,549.44,2.261e+14,0.973,81,0.0577,2.624e+73,73.42,1.000e-42,0.8201,1.728e-50,-49.76
187.0,593.53,2.251e+14,0.964,53,0.0813,2.795e+73,73.45,1.000e-42,0.6887,1.744e-50,-49.76
194.0,554.34,2.217e+14,0.960,34,0.0801,2.560e+73,73.41,1.000e-42,0.7987,1.752e-50,-49.76
195.0,582.47,2.217e+14,0.972,98,0.0415,2.723e+73,73.43,1.000e-42,0.7012,1.731e-50,-49.76
198.0,568.98,2.205e+14,0.959,36,0.0774,2.610e+73,73.42,1.000e-42,0.7484,1.754e-50,-49.76
201.0,579.26,2.203e+14,0.968,77,0.0460,2.680e+73,73.43,1.000e-42,0.7082,1.737e-50,-49.76
202.0,528.72,2.201e+14,0.956,38,0.0859,2.413e+73,73.38,1.000e-42,0.8829,1.760e-50,-49.75
204.0,543.24,2.189e+14,0.967,33,0.0447,2.494e+73,73.40,1.000e-42,0.8171,1.740e-50,-49.76
205.0,623.77,2.187e+14,0.956,70,0.0790,2.829e+73,73.45,1.000e-42,0.5909,1.760e-50,-49.75
213.0,498.77,2.127e+14,0.928,34,0.1390,2.137e+73,73.33,1.000e-42,0.9910,1.812e-50,-49.74
215.0,598.69,2.122e+14,0.951,54,0.0639,2.621e+73,73.42,1.000e-42,0.6369,1.769e-50,-49.75
222.0,550.68,2.104e+14,0.942,36,0.0833,2.369e+73,73.37,1.000e-42,0.7802,1.785e-50,-49.75
228.0,593.42,2.085e+14,0.940,77,0.0800,2.524e+73,73.40,1.000e-42,0.6460,1.789e-50,-49.75
231.0,524.94,2.066e+14,0.935,39,0.0876,2.201e+73,73.34,1.000e-42,0.8574,1.798e-50,-49.75
233.0,570.87,2.064e+14,0.942,54,0.0660,2.407e+73,73.38,1.000e-42,0.7015,1.786e-50,-49.75
235.0,598.20,2.058e+14,0.939,48,0.0701,2.509e+73,73.40,1.000e-42,0.6233,1.791e-50,-49.75
237.0,584.32,2.040e+14,0.936,42,0.0731,2.420e+73,73.38,1.000e-42,0.6578,1.797e-50,-49.75
242.0,571.81,2.031e+14,0.942,68,0.0489,2.373e+73,73.38,1.000e-42,0.6851,1.786e-50,-49.75
