galaxy_name,distance_mpc,r_max_kpc,v_max_km_s,J,log10_J,k_fitted,log10_k_fitted,mean_error_pct,omega_lt_max_rad_s,log10_omega_lt,cumul_precession_rad,cumul_precession_rotations,v_boost_max_km_s,relative_boost_pct,T_orb_Gyr,n_orbits_10Gyr,precession_per_orbit_rad,k_theory,log10_k_theory,k_ratio_theory_to_fitted,log10_k_ratio
ESO116-G012,13.0,9.86,112.0,6.129155e+64,64.78740060434991,5.7608846862861755e-36,-35.239510817814754,47.18974176862788,1.6133395753849616e-24,-23.792274212775663,5.091312498416847e-07,8.103075509485887e-08,4.90906320662306e-07,4.3830921487705896e-07,5.409171053187781,18.487121042524087,2.7539780189169565e-08,1.385072368731445e-46,-45.85852753452759,2.4042702538876e-11,-10.619016716712839
ESO444-G084,4.83,4.44,62.7,6.009088e+62,62.7788085640789,2.65354680925743e-34,-33.57617324689915,48.20369376401306,1.7322699889614174e-25,-24.761384418566898,5.466628340364883e-08,8.700409224153153e-09,2.373528622555111e-08,3.785532093389332e-08,4.350981655989629,22.983319146459387,2.3785199629040632e-09,1.7982431346934518e-45,-44.745151589067184,6.776753017583561e-12,-11.16897834216803
ESO563-G021,60.8,42.41,312.0,4.318052e+67,67.6352878680068,1e-45,-45.0,31.473860665879304,1.4283642712621538e-23,-22.84516102167427,4.507574832678255e-06,7.174028159773673e-07,1.8694040210468738e-05,5.991679554637416e-06,8.351904148124285,11.973317488618271,3.764683294302615e-07,9.395486901193196e-48,-47.0270807085893,0.009395486901193196,-2.027080708589305
F561-1,66.4,9.66,50.4,1.54506e+65,65.1889453492385,1e-45,-45.0,9.938481635065461,4.324838531865088e-24,-23.364030102309925,1.3648152445318571e-06,2.1721709257441896e-07,1.289267235121825e-06,2.5580699109560016e-06,11.776559020462917,8.491444727296,1.6072827279256946e-07,2.377979681173101e-47,-46.62379186056346,0.02377979681173101,-1.623791860563459
F563-1,48.9,20.1,106.0,1.4313e+65,65.15573067127859,2.9288648581181435e-36,-35.53330066680512,56.22991898996966,4.447320482907019e-25,-24.351901573284817,1.4034676087138656e-07,2.2336880739617372e-08,2.7586106330604637e-07,2.602462861377796e-07,11.650968153140507,8.58297771357697,1.635175641308951e-08,2.219449005593139e-46,-45.6537548289418,7.577847094724544e-11,-10.120454162136685
F563-V1,54.0,7.87,27.3,9.805673e+63,63.9914774062808,1.1263829978098417e-37,-36.948313913611315,6.271510528557671,5.075854177491181e-25,-24.294490863098332,1.601817757915957e-07,2.549372141047015e-08,1.232763567549764e-07,4.5156174635522485e-07,17.71266497678799,5.645677831712367,2.8372461299835038e-08,1.3774368365974756e-46,-45.86092830691982,1.2228849683240845e-09,-8.9126143933085
F563-V2,59.7,10.47,118.0,1.357328e+65,65.13268480814406,9.092752342244323e-37,-36.041304637556884,65.14431486028775,2.9840128624127312e-24,-23.5251993091944,9.416828430687601e-07,1.4987347929922273e-07,9.641470886995757e-07,8.170738039826913e-07,5.451757094071337,18.34271011611059,5.133826120065379e-08,7.388324992725718e-47,-46.13145400935481,8.125509982714532e-11,-10.09014937179793
F565-V2,51.8,8.8,83.1,1.470806e+64,64.16755539285958,3.702477195732892e-35,-34.43150760770152,69.63555722082975,5.445820270182401e-25,-24.26393669589287,1.7185701775830814e-07,2.7351893881266377e-08,1.4789105191328944e-07,1.779675714961365e-07,6.5065904492276685,15.369032487955344,1.1182032303789577e-08,3.4510167274290606e-46,-45.462052935633885,9.320831824180742e-12,-11.03054532793237
F567-2,79.0,9.59,52.2,4.357447e+64,64.63923211345328,2.610665897842421e-36,-35.58324870382148,21.463774749563367,1.246614630767103e-24,-23.904267780360648,3.934016587189593e-07,6.261181860567319e-08,3.689323587774841e-07,7.067669708380922e-07,11.288076062592639,8.85890557837294,4.440747846769724e-08,8.613035918909704e-47,-46.06484374164349,3.299172033475417e-11,-10.481595037822009
F568-1,90.7,13.23,142.0,2.755108e+65,65.44013862782836,1.4015526994559329e-36,-35.85339056779123,72.33928295830573,3.0020299656237708e-24,-23.522584977036086,9.473686084316871e-07,1.5077839696199325e-07,1.2256621898989488e-06,8.631423872527807e-07,5.724575964754112,17.468542755951585,5.423283565590586e-08,6.861614698092913e-47,-46.16357367263808,4.895723650460318e-11,-10.310183104846852
