galaxy_name,k_optimal,log10_k_optimal,mean_error_pct,J_new,log10_J_new,h_kpc,B_T,SB_disk_center
NGC1003,4.4483822845909006e-36,-35.351797897470455,39.657401176563134,2.47143e+65,65.39294831415174,1.5952,,1865.65
NGC1090,1e-45,-45.0,20.41011752735776,4.84383e+66,66.68518889265485,3.6225,,4203.68
NGC1705,2.4021924109660427e-34,-33.619392209391854,22.74843420108958,1.823347e+63,63.26086932682529,0.393,,1082.51
NGC2366,5.4615270193148e-38,-37.262685913459556,30.481801563356147,3.30492e+63,63.51916095127127,0.6483,,73.05
NGC2403,1e-45,-45.0,21.06659060592403,2.100832e+65,65.32239132399559,1.4004,,2055.09
NGC2683,1.8972336637503054e-37,-36.72187917800536,16.256888084305228,6.470437e+66,66.81093361301484,2.1891,0.0197,6931.54
NGC2841,3.1628759935953628e-37,-36.4999178350691,20.548024972738013,1.711831e+67,67.23346088686549,3.6747,0.1238,2997.99
NGC2903,1e-45,-45.0,39.88483551188444,2.029176e+66,66.30731971707469,2.0214,,55059.22
NGC2915,5.808212654978863e-35,-34.23595749127608,62.47387381891922,4.700836e+63,63.67217510004223,0.5507,,2202.06
NGC2955,1e-45,-45.0,14.373065377967107,3.4025e+67,67.53179813387537,9.5158,0.1333,3348.34
NGC2976,1e-45,-45.0,11.558526427793488,1.216545e+64,64.085128178117,0.9996,,4889.11
NGC2998,1.7631863599739096e-38,-37.75370178252147,10.587713614381112,2.234057e+67,67.3490942495628,5.3044,,4168.98
NGC3109,2.9213906038280245e-36,-35.534410371904926,50.79082066482766,2.083339e+63,63.3187599439038,1.5667,,167.04
NGC3198,1e-45,-45.0,25.431898194826243,1.887833e+66,66.27596357344387,3.1962,,18048.04
NGC3521,1e-45,-45.0,24.582092303051837,2.502308e+66,66.39834076437735,1.9519,,120567.44
NGC3726,1e-45,-45.0,20.607192242348596,3.931762e+66,66.59458722095688,3.4629,,8929.56
NGC3741,8.671230978222364e-35,-34.06191924518806,41.79600959713653,5.056324e+62,62.703834894962576,0.2023,,214.21
NGC3769,1e-45,-45.0,30.58643510814297,4.59185e+65,65.66198769270954,2.8121,,4664.77
NGC3877,1e-45,-45.0,26.28199695484617,5.17013e+66,66.7135014633208,2.5812,,25190.11
NGC3893,1e-45,-45.0,17.36117326667785,3.801592e+66,66.57996550504475,2.2168,,14751.29
NGC3917,1e-45,-45.0,21.411745080019987,9.015542e+65,65.95499184093457,2.6962,,1879.45
NGC3949,1e-45,-45.0,19.131223336269446,1.42293e+66,66.15318353581057,1.9812,,8418.41
NGC3953,1e-45,-45.0,8.186018179771313,1.584885e+67,67.1999977550854,3.3567,,31947.0
NGC3972,1e-45,-45.0,18.275363958285002,4.09904e+65,65.61268215634882,2.2323,,2584.82
NGC3992,3.177293687198807e-37,-36.497942640119376,12.126141552156678,4.075555e+67,67.61018675835821,5.4119,,31566.76
NGC4010,7.866153300090766e-38,-37.10423759406475,15.170021921558586,3.994208e+65,65.6014306771847,2.6892,,2608.74
NGC4013,4.697659463973972e-37,-36.3281184686732,17.45411351145832,4.325481e+66,66.63603440868653,2.0116,0.0267,7125.74
NGC4051,1e-45,-45.0,19.64871325505872,4.198384e+66,66.62308215827072,4.7226,,126133.38
NGC4068,1e-45,-45.0,23.167014549362143,1.337719e+63,63.12636489552001,0.6828,,113.67
NGC4085,1e-45,-45.0,38.84877243243691,6.163729e+65,65.78984353588807,1.1661,,15347.23
NGC4088,1e-45,-45.0,28.45006421314554,1.308757e+67,67.1168590175547,2.5259,,28341.97
NGC4100,3.585223341155208e-37,-36.44548378481904,13.789662938006467,2.237053e+66,66.34967627347297,2.4605,,21243.69
NGC4138,1.277555139668992e-36,-35.8936203465066,14.527920834734918,1.188706e+66,66.07507445481541,1.5042,0.1366,3474.0
NGC4157,1e-45,-45.0,20.689145829411892,5.5557e+66,66.74473878640643,2.3886,0.0032,10111.84
NGC4183,7.630022417867478e-37,-36.117474186037015,26.02895178445167,3.636252e+65,65.56065397312447,2.8318,,2114.61
NGC4214,7.491649839946664e-35,-34.12542252976621,24.85123457221412,3.262614e+63,63.513565695428625,0.5121,,1736.32
NGC4217,1e-45,-45.0,39.326713615209755,3.938952e+66,66.59538068853645,2.5828,0.1212,5455.44
NGC4389,1e-45,-45.0,98.93533792593135,5.413045e+65,65.73344163750497,1.9063,,2940.56
NGC4559,1e-45,-45.0,18.706210880283102,7.804077e+65,65.8923215457699,2.1161,,1951.78
NGC5005,1e-45,-45.0,21.456874040714712,9.00931e+66,66.9546915307496,4.2978,0.0501,11717.37
NGC5033,1e-45,-45.0,27.049093335566806,5.106962e+66,66.70816262635923,4.2954,0.1165,7125.74
NGC5055,1e-45,-45.0,28.762060832092196,9.981265e+66,66.99918558614753,3.144,,106962.13
NGC5371,1e-45,-45.0,13.887501378759696,8.164306e+67,67.91191927380261,5.6929,,24458.51
NGC5585,1e-45,-45.0,26.033107671538218,5.238037e+64,64.71916856183245,1.1791,,1283.6
NGC5907,1.763092631201062e-37,-36.753724869684426,13.698639882904148,1.693895e+67,67.22888648608092,5.3178,,23967.9
NGC5985,6.262628526323508e-37,-36.20324334811866,12.299837423801844,2.574638e+67,67.41071617487069,7.0356,0.0243,1693.67
NGC6015,2.1880130648125496e-40,-39.65995008912149,22.540779201937813,1.019964e+66,66.00858484345088,2.3179,,3937.59
NGC6195,1e-45,-45.0,17.132901006104635,4.592695e+67,67.66206760496175,10.3145,0.1806,1249.77
NGC6503,6.517693627501135e-36,-35.18590605795692,29.601145922959443,2.167791e+65,65.3360174088986,1.7859,,12179.52
NGC6674,3.690895492207173e-37,-36.43286825168874,24.929769421227892,3.356157e+67,67.52584226879516,6.0393,0.0524,1773.5
NGC6789,7.585345221023483e-34,-33.12002464900068,28.331903691717542,4.656418e+61,61.668051959387775,0.305,,248.22
NGC6946,1e-45,-45.0,14.880048491376327,2.717306e+66,66.43413854774012,2.4428,0.0503,2425.66
NGC7331,1e-45,-45.0,23.007080986830847,1.837628e+67,67.2642575995971,3.959,0.0209,36043.75
NGC7793,1e-45,-45.0,16.789043672886823,8.020696e+64,64.9042120560453,1.1895,,10765.4
NGC7814,9.243378835120475e-37,-36.034169247262994,20.895564829989706,2.334107e+66,66.36812076106857,2.5484,0.3515,2635.3
PGC51017,1e-45,-45.0,20.330471110663385,5.100108e+62,62.70757937282488,0.532,,57.65
