galaxy_name,distance_mpc,r_max_kpc,v_max_km_s,J_new,log10_J_new,k_optimal,log10_k_optimal,chi2_reduced,mean_error,mean_error_pct
F568-V1,80.6,17.63,118.0,1.453949e+65,65.16254917309315,7.917557699350756e-36,-35.10140876301531,6.999811651030672,0.8098627581817003,80.98627581817003
F571-8,53.3,15.55,144.0,1.165149e+65,65.06638146676981,1e-45,-45.0,123.13512142063595,0.6130934981988841,61.30934981988842
F571-V1,80.1,13.59,83.9,6.166027e+64,64.79000542209748,1.2723768983727274e-35,-34.89538422466396,12.729015291252447,0.47073094632335666,47.07309463233567
F574-1,96.8,12.6,99.7,1.330414e+65,65.1239868063338,2.1101122015253033e-36,-35.67569445123892,49.89428678495585,0.5558883219964245,55.58883219964245
F574-2,89.1,10.83,40.0,7.78563e+64,64.89129376070035,1e-45,-45.0,0.6713976305274485,0.32697100016010217,32.69710001601022
F579-V1,89.5,15.16,114.0,3.212038e+65,65.5067806745558,1.5007646358858288e-36,-35.823687412587475,6.968853752217301,0.2964453698067556,29.64453698067556
F583-1,35.4,16.26,85.8,8.692752e+64,64.93915728959091,1.954442428205044e-36,-35.70897711800795,21.874651470957144,0.8348535378404651,83.48535378404651
F583-4,53.3,7.29,69.9,1.320072e+64,64.12059761934974,6.667274352387318e-36,-35.17605167367653,13.134860739955398,0.4360101877496256,43.601018774962554
IC2574,3.91,10.23,67.5,2.091093e+64,64.32037334821158,2.8771105111305655e-36,-35.54104345633962,82.40612541452842,0.39442857184196023,39.44285718419602
IC4202,100.4,25.9,247.0,1.733242e+67,67.23885920433374,1e-45,-45.0,57.8273117690685,0.21560633945012608,21.560633945012608
KK98-251,6.8,3.13,34.2,4.112813e+62,62.61413896360245,2.2954443911056727e-35,-34.63913322388619,11.144819431727335,0.37093384659803397,37.0933846598034
NGC0024,7.3,11.27,110.0,3.13058e+64,64.49562480638487,1.2874206103455843e-35,-34.89027954252124,37.06258867319069,0.40493494518925816,40.493494518925814
NGC0055,2.11,13.5,86.5,1.385052e+65,65.14146607873558,9.378188690784718e-37,-36.02788103342888,41.05575393203238,0.2682132143489468,26.821321434894678
NGC0100,13.5,9.62,91.2,2.932461e+64,64.46723224496577,2.6278418187337662e-36,-35.58040078040549,20.563674657011212,0.5012601656900719,50.12601656900719
NGC0247,3.7,14.54,107.0,1.992759e+65,65.29945477923292,8.215622952059468e-37,-36.08535950047182,68.10922590322053,0.28268986766052584,28.268986766052585
NGC0289,20.8,71.12,165.0,5.504732e+66,66.74073618002814,1.328368770706301e-36,-35.8766813430024,43.62033545982188,0.3506173046982046,35.06173046982046
NGC0300,2.08,11.8,93.5,3.240149e+64,64.51056498193189,1.1945231993166883e-35,-34.922805411223955,67.24748015282265,0.3440945381463775,34.40945381463775
NGC0801,80.7,59.82,216.0,6.655067e+67,67.82315243209977,1e-45,-45.0,52.81847767067092,0.1780141502166243,17.801415021662432
NGC0891,9.91,17.11,208.0,7.093857e+66,66.85088242959168,1e-45,-45.0,205.69218920038224,0.2360335996286652,23.60335996286652
